C2(X)	C2(Y)	C3(X)	C3(Y)	D1(X)	D1(Y)	D3(X)	D3(Y)	D4(X)	D4(Y)
6938.234	-5672.5	6938.234	-7432.5	6938.234	-2032.5	6938.234	-7630	6938.234	-1475
6938.235	-5792.5	6938.235	-7552.5	6938.235	-2312.5	6938.235	-7840	6938.235	-1525
6938.236	-6002.5	6938.236	-7715	6938.236	-2520	6938.236	-7997.5	6938.236	-1555
6938.237	-6230	6938.237	-7822.5	6938.237	-2877.5	6938.237	-8170	6938.237	-1605
6938.238	-6392.5	6938.238	-7915	6938.238	-3120	6938.238	-8305	6938.238	-1590
6938.239	-6612.5	6938.239	-7992.5	6938.239	-3352.5	6938.239	-8562.5	6938.239	-1642.5
6938.24	-6720	6938.24	-8137.5	6938.24	-3582.5	6938.24	-8737.5	6938.24	-1692.5
6938.241	-6827.5	6938.241	-8277.5	6938.241	-3675	6938.241	-8852.5	6938.241	-1697.5
6938.242	-6925	6938.242	-8307.5	6938.242	-3747.5	6938.242	-8895	6938.242	-1725
6938.243	-7007.5	6938.243	-8385	6938.243	-3712.5	6938.243	-8937.5	6938.243	-1735
6938.244	-6992.5	6938.244	-8400	6938.244	-3442.5	6938.244	-9037.5	6938.244	-1772.5
6938.245	-6982.5	6938.245	-8470	6938.245	-3370	6938.245	-9002.5	6938.245	-1770
6938.246	-6912.5	6938.246	-8492.5	6938.246	-3115	6938.246	-8910	6938.246	-1790
6938.247	-6820	6938.247	-8395	6938.247	-2962.5	6938.247	-8890	6938.247	-1780
6938.248	-6750	6938.248	-8432.5	6938.248	-2820	6938.248	-8812.5	6938.248	-1800
6938.249	-6645	6938.249	-8477.5	6938.249	-2550	6938.249	-8745	6938.249	-1797.5
6938.25	-6537.5	6938.25	-8455	6938.25	-2490	6938.25	-8730	6938.25	-1820
6938.251	-6522.5	6938.251	-8402.5	6938.251	-2367.5	6938.251	-8767.5	6938.251	-1845
6938.252	-6497.5	6938.252	-8427.5	6938.252	-2357.5	6938.252	-8762.5	6938.252	-1837.5
6938.253	-6502.5	6938.253	-8435	6938.253	-2192.5	6938.253	-8677.5	6938.253	-1832.5
6938.254	-6580	6938.254	-8495	6938.254	-2335	6938.254	-8742.5	6938.254	-1850
6938.255	-6697.5	6938.255	-8542.5	6938.255	-2680	6938.255	-8870	6938.255	-1850
6938.256	-6727.5	6938.256	-8525	6938.256	-2760	6938.256	-8927.5	6938.256	-1870
6938.257	-6775	6938.257	-8545	6938.257	-3042.5	6938.257	-9027.5	6938.257	-1857.5
6938.258	-6907.5	6938.258	-8575	6938.258	-3407.5	6938.258	-9052.5	6938.258	-1877.5
6938.259	-6982.5	6938.259	-8590	6938.259	-3380	6938.259	-9200	6938.259	-1900
6938.26	-7047.5	6938.26	-8580	6938.26	-3562.5	6938.26	-9282.5	6938.26	-1872.5
6938.261	-7070	6938.261	-8627.5	6938.261	-3667.5	6938.261	-9317.5	6938.261	-1900
6938.262	-7092.5	6938.262	-8600	6938.262	-3580	6938.262	-9352.5	6938.262	-1907.5
6938.263	-7097.5	6938.263	-8547.5	6938.263	-3587.5	6938.263	-9257.5	6938.263	-1885
6938.264	-7032.5	6938.264	-8550	6938.264	-3400	6938.264	-9295	6938.264	-1872.5
6938.265	-6950	6938.265	-8445	6938.265	-3007.5	6938.265	-9147.5	6938.265	-1870
6938.266	-6852.5	6938.266	-8460	6938.266	-2882.5	6938.266	-9050	6938.266	-1910
6938.267	-6722.5	6938.267	-8360	6938.267	-2675	6938.267	-9030	6938.267	-1900
6938.268	-6512.5	6938.268	-8282.5	6938.268	-2367.5	6938.268	-8852.5	6938.268	-1877.5
6938.269	-6435	6938.269	-8252.5	6938.269	-2122.5	6938.269	-8687.5	6938.269	-1882.5
6938.27	-6310	6938.27	-8240	6938.27	-2070	6938.27	-8650	6938.27	-1885
6938.271	-6272.5	6938.271	-8130	6938.271	-1882.5	6938.271	-8490	6938.271	-1867.5
6938.272	-6187.5	6938.272	-8097.5	6938.272	-1825	6938.272	-8465	6938.272	-1870
6938.273	-6142.5	6938.273	-8055	6938.273	-1650	6938.273	-8437.5	6938.273	-1847.5
6938.274	-6092.5	6938.274	-8017.5	6938.274	-1957.5	6938.274	-8412.5	6938.274	-1847.5
6938.275	-6082.5	6938.275	-8042.5	6938.275	-1950	6938.275	-8452.5	6938.275	-1860
6938.276	-6137.5	6938.276	-8037.5	6938.276	-2047.5	6938.276	-8482.5	6938.276	-1842.5
6938.277	-6180	6938.277	-7960	6938.277	-2327.5	6938.277	-8497.5	6938.277	-1830
6938.278	-6277.5	6938.278	-8027.5	6938.278	-2552.5	6938.278	-8612.5	6938.278	-1832.5
6938.279	-6282.5	6938.279	-8020	6938.279	-2672.5	6938.279	-8707.5	6938.279	-1820
6938.28	-6270	6938.28	-8005	6938.28	-2810	6938.28	-8735	6938.28	-1797.5
6938.281	-6280	6938.281	-7990	6938.281	-2847.5	6938.281	-8672.5	6938.281	-1807.5
6938.282	-6360	6938.282	-7947.5	6938.282	-2675	6938.282	-8735	6938.282	-1795
6938.283	-6297.5	6938.283	-7905	6938.283	-2770	6938.283	-8590	6938.283	-1782.5
6938.284	-6220	6938.284	-7832.5	6938.284	-2680	6938.284	-8560	6938.284	-1780
6938.285	-6062.5	6938.285	-7730	6938.285	-2370	6938.285	-8472.5	6938.285	-1760
6938.286	-5987.5	6938.286	-7675	6938.286	-2177.5	6938.286	-8357.5	6938.286	-1757.5
6938.287	-5790	6938.287	-7607.5	6938.287	-1937.5	6938.287	-8260	6938.287	-1740
6938.288	-5542.5	6938.288	-7482.5	6938.288	-1660	6938.288	-8147.5	6938.288	-1705
6938.289	-5482.5	6938.289	-7487.5	6938.289	-1635	6938.289	-7995	6938.289	-1722.5
6938.29	-5302.5	6938.29	-7347.5	6938.29	-1382.5	6938.29	-7875	6938.29	-1725
6938.291	-5212.5	6938.291	-7255	6938.291	-1215	6938.291	-7740	6938.291	-1707.5
6938.292	-5132.5	6938.292	-7307.5	6938.292	-1137.5	6938.292	-7707.5	6938.292	-1672.5
6938.293	-5075	6938.293	-7225	6938.293	-927.5	6938.293	-7615	6938.293	-1677.5
6938.294	-5112.5	6938.294	-7162.5	6938.294	-1085	6938.294	-7567.5	6938.294	-1665
6938.295	-5140	6938.295	-7137.5	6938.295	-1380	6938.295	-7587.5	6938.295	-1655
6938.296	-5110	6938.296	-7122.5	6938.296	-1515	6938.296	-7615	6938.296	-1647.5
6938.297	-5207.5	6938.297	-7195	6938.297	-1545	6938.297	-7677.5	6938.297	-1637.5
6938.298	-5222.5	6938.298	-7155	6938.298	-1870	6938.298	-7715	6938.298	-1625
6938.299	-5372.5	6938.299	-7120	6938.299	-1980	6938.299	-7840	6938.299	-1622.5
6938.3	-5402.5	6938.3	-7150	6938.3	-2092.5	6938.3	-7807.5	6938.3	-1632.5
6938.301	-5350	6938.301	-7110	6938.301	-2195	6938.301	-7812.5	6938.301	-1602.5
6938.302	-5372.5	6938.302	-7055	6938.302	-2050	6938.302	-7830	6938.302	-1602.5
6938.303	-5360	6938.303	-6980	6938.303	-2185	6938.303	-7700	6938.303	-1607.5
6938.304	-5205	6938.304	-6962.5	6938.304	-1935	6938.304	-7662.5	6938.304	-1592.5
6938.305	-5132.5	6938.305	-6850	6938.305	-1695	6938.305	-7422.5	6938.305	-1585
6938.306	-5010	6938.306	-6782.5	6938.306	-1495	6938.306	-7407.5	6938.306	-1562.5
6938.307	-4815	6938.307	-6730	6938.307	-1275	6938.307	-7255	6938.307	-1557.5
6938.308	-4645	6938.308	-6740	6938.308	-1042.5	6938.308	-7135	6938.308	-1562.5
6938.309	-4515	6938.309	-6670	6938.309	-897.5	6938.309	-7067.5	6938.309	-1515
6938.31	-4392.5	6938.31	-6610	6938.31	-830	6938.31	-6922.5	6938.31	-1512.5
6938.311	-4242.5	6938.311	-6452.5	6938.311	-562.5	6938.311	-6820	6938.311	-1515
6938.312	-4202.5	6938.312	-6405	6938.312	-592.5	6938.312	-6832.5	6938.312	-1500
6938.313	-4192.5	6938.313	-6420	6938.313	-557.5	6938.313	-6727.5	6938.313	-1477.5
6938.314	-4172.5	6938.314	-6327.5	6938.314	-665	6938.314	-6707.5	6938.314	-1472.5
6938.315	-4207.5	6938.315	-6357.5	6938.315	-877.5	6938.315	-6752.5	6938.315	-1475
6938.316	-4350	6938.316	-6345	6938.316	-1110	6938.316	-6852.5	6938.316	-1455
6938.317	-4282.5	6938.317	-6370	6938.317	-1287.5	6938.317	-6850	6938.317	-1462.5
6938.318	-4445	6938.318	-6345	6938.318	-1522.5	6938.318	-6915	6938.318	-1435
6938.319	-4527.5	6938.319	-6435	6938.319	-1752.5	6938.319	-7000	6938.319	-1432.5
6938.32	-4585	6938.32	-6440	6938.32	-1880	6938.32	-7030	6938.32	-1437.5
6938.321	-4667.5	6938.321	-6357.5	6938.321	-2072.5	6938.321	-7135	6938.321	-1452.5
6938.322	-4682.5	6938.322	-6327.5	6938.322	-1960	6938.322	-7030	6938.322	-1445
6938.323	-4610	6938.323	-6365	6938.323	-2027.5	6938.323	-7017.5	6938.323	-1410
6938.324	-4467.5	6938.324	-6292.5	6938.324	-1870	6938.324	-6997.5	6938.324	-1410
6938.325	-4422.5	6938.325	-6185	6938.325	-1767.5	6938.325	-6795	6938.325	-1427.5
6938.326	-4255	6938.326	-6157.5	6938.326	-1547.5	6938.326	-6767.5	6938.326	-1410
6938.327	-4255	6938.327	-6020	6938.327	-1255	6938.327	-6692.5	6938.327	-1412.5
6938.328	-4007.5	6938.328	-5987.5	6938.328	-1030	6938.328	-6497.5	6938.328	-1387.5
6938.329	-3952.5	6938.329	-6007.5	6938.329	-930	6938.329	-6407.5	6938.329	-1367.5
6938.33	-3815	6938.33	-5870	6938.33	-860	6938.33	-6327.5	6938.33	-1372.5
6938.331	-3760	6938.331	-5785	6938.331	-807.5	6938.331	-6255	6938.331	-1360
6938.332	-3715	6938.332	-5817.5	6938.332	-715	6938.332	-6255	6938.332	-1362.5
6938.333	-3597.5	6938.333	-5812.5	6938.333	-595	6938.333	-6172.5	6938.333	-1355
6938.334	-3677.5	6938.334	-5775	6938.334	-685	6938.334	-6212.5	6938.334	-1365
6938.335	-3740	6938.335	-5837.5	6938.335	-1062.5	6938.335	-6232.5	6938.335	-1332.5
6938.336	-3755	6938.336	-5812.5	6938.336	-1127.5	6938.336	-6270	6938.336	-1337.5
6938.337	-3892.5	6938.337	-5870	6938.337	-1395	6938.337	-6312.5	6938.337	-1345
6938.338	-4007.5	6938.338	-5870	6938.338	-1587.5	6938.338	-6420	6938.338	-1350
6938.339	-4075	6938.339	-5860	6938.339	-1785	6938.339	-6557.5	6938.339	-1315
6938.34	-4197.5	6938.34	-5875	6938.34	-2052.5	6938.34	-6622.5	6938.34	-1342.5
6938.341	-4262.5	6938.341	-5902.5	6938.341	-2110	6938.341	-6697.5	6938.341	-1355
6938.342	-4267.5	6938.342	-5895	6938.342	-2150	6938.342	-6700	6938.342	-1325
6938.343	-4282.5	6938.343	-5875	6938.343	-2202.5	6938.343	-6747.5	6938.343	-1297.5
6938.344	-4272.5	6938.344	-5865	6938.344	-2042.5	6938.344	-6682.5	6938.344	-1310
6938.345	-4187.5	6938.345	-5747.5	6938.345	-1762.5	6938.345	-6632.5	6938.345	-1292.5
6938.346	-4077.5	6938.346	-5702.5	6938.346	-1537.5	6938.346	-6590	6938.346	-1255
6938.347	-3987.5	6938.347	-5702.5	6938.347	-1460	6938.347	-6492.5	6938.347	-1262.5
