A1(X)	A1(Y)	A2(X)	A2(Y)	A3(X)	A3(Y)	B2(X)	B2(Y)	B3(X)	B3(Y)
6938.268	-7532.5	6938.268	-8267.5	6938.268	-6097.5	6938.268	-9240	6938.268	-5362.5
6938.269	-7435	6938.269	-8230	6938.269	-6107.5	6938.269	-9132.5	6938.269	-5360
6938.27	-7385	6938.27	-8157.5	6938.27	-6065	6938.27	-9030	6938.27	-5297.5
6938.271	-7350	6938.271	-8052.5	6938.271	-6055	6938.271	-8985	6938.271	-5250
6938.272	-7235	6938.272	-8022.5	6938.272	-6040	6938.272	-8867.5	6938.272	-5250
6938.273	-7302.5	6938.273	-8030	6938.273	-6070	6938.273	-8842.5	6938.273	-5270
6938.274	-7350	6938.274	-8052.5	6938.274	-6012.5	6938.274	-8820	6938.274	-5195
6938.275	-7407.5	6938.275	-8080	6938.275	-6002.5	6938.275	-8795	6938.275	-5210
6938.276	-7325	6938.276	-8130	6938.276	-5952.5	6938.276	-8772.5	6938.276	-5140
6938.277	-7450	6938.277	-8210	6938.277	-6032.5	6938.277	-8775	6938.277	-5225
6938.278	-7442.5	6938.278	-8340	6938.278	-6015	6938.278	-8792.5	6938.278	-5165
6938.279	-7517.5	6938.279	-8390	6938.279	-6012.5	6938.279	-8742.5	6938.279	-5225
6938.28	-7480	6938.28	-8410	6938.28	-5960	6938.28	-8772.5	6938.28	-5135
6938.281	-7482.5	6938.281	-8515	6938.281	-5945	6938.281	-8700	6938.281	-5115
6938.282	-7442.5	6938.282	-8477.5	6938.282	-5912.5	6938.282	-8642.5	6938.282	-5080
6938.283	-7487.5	6938.283	-8472.5	6938.283	-5882.5	6938.283	-8572.5	6938.283	-5052.5
6938.284	-7485	6938.284	-8362.5	6938.284	-5897.5	6938.284	-8477.5	6938.284	-5035
6938.285	-7357.5	6938.285	-8340	6938.285	-5815	6938.285	-8400	6938.285	-4960
6938.286	-7280	6938.286	-8232.5	6938.286	-5765	6938.286	-8275	6938.286	-4935
6938.287	-7147.5	6938.287	-8075	6938.287	-5742.5	6938.287	-8167.5	6938.287	-4887.5
6938.288	-7067.5	6938.288	-7972.5	6938.288	-5707.5	6938.288	-8062.5	6938.288	-4870
6938.289	-7025	6938.289	-7880	6938.289	-5702.5	6938.289	-7957.5	6938.289	-4822.5
6938.29	-6950	6938.29	-7757.5	6938.29	-5655	6938.29	-7822.5	6938.29	-4755
6938.291	-6945	6938.291	-7667.5	6938.291	-5655	6938.291	-7730	6938.291	-4770
6938.292	-6912.5	6938.292	-7650	6938.292	-5607.5	6938.292	-7640	6938.292	-4672.5
6938.293	-6880	6938.293	-7622.5	6938.293	-5605	6938.293	-7565	6938.293	-4670
6938.294	-6865	6938.294	-7607.5	6938.294	-5575	6938.294	-7480	6938.294	-4640
6938.295	-6812.5	6938.295	-7607.5	6938.295	-5567.5	6938.295	-7475	6938.295	-4700
6938.296	-6835	6938.296	-7630	6938.296	-5547.5	6938.296	-7475	6938.296	-4592.5
6938.297	-6855	6938.297	-7752.5	6938.297	-5545	6938.297	-7420	6938.297	-4617.5
6938.298	-6955	6938.298	-7832.5	6938.298	-5545	6938.298	-7365	6938.298	-4630
6938.299	-6965	6938.299	-7917.5	6938.299	-5480	6938.299	-7325	6938.299	-4597.5
6938.3	-6917.5	6938.3	-7925	6938.3	-5515	6938.3	-7297.5	6938.3	-4585
6938.301	-6930	6938.301	-8065	6938.301	-5475	6938.301	-7245	6938.301	-4597.5
6938.302	-6912.5	6938.302	-7995	6938.302	-5417.5	6938.302	-7190	6938.302	-4510
6938.303	-6977.5	6938.303	-7995	6938.303	-5415	6938.303	-7102.5	6938.303	-4500
6938.304	-6887.5	6938.304	-7937.5	6938.304	-5365	6938.304	-6980	6938.304	-4417.5
6938.305	-6815	6938.305	-7880	6938.305	-5365	6938.305	-6892.5	6938.305	-4435
6938.306	-6725	6938.306	-7790	6938.306	-5332.5	6938.306	-6762.5	6938.306	-4405
6938.307	-6605	6938.307	-7667.5	6938.307	-5297.5	6938.307	-6610	6938.307	-4342.5
6938.308	-6512.5	6938.308	-7527.5	6938.308	-5240	6938.308	-6532.5	6938.308	-4260
6938.309	-6445	6938.309	-7452.5	6938.309	-5205	6938.309	-6410	6938.309	-4250
6938.31	-6465	6938.31	-7317.5	6938.31	-5175	6938.31	-6305	6938.31	-4210
6938.311	-6337.5	6938.311	-7177.5	6938.311	-5170	6938.311	-6152.5	6938.311	-4167.5
6938.312	-6357.5	6938.312	-7167.5	6938.312	-5130	6938.312	-6020	6938.312	-4142.5
6938.313	-6267.5	6938.313	-7112.5	6938.313	-5120	6938.313	-5937.5	6938.313	-4147.5
6938.314	-6280	6938.314	-7055	6938.314	-5130	6938.314	-5895	6938.314	-4072.5
6938.315	-6395	6938.315	-7075	6938.315	-5112.5	6938.315	-5825	6938.315	-4090
6938.316	-6395	6938.316	-7152.5	6938.316	-5105	6938.316	-5847.5	6938.316	-4082.5
6938.317	-6382.5	6938.317	-7180	6938.317	-5080	6938.317	-5852.5	6938.317	-4085
6938.318	-6540	6938.318	-7385	6938.318	-5060	6938.318	-5830	6938.318	-4065
6938.319	-6432.5	6938.319	-7377.5	6938.319	-5022.5	6938.319	-5782.5	6938.319	-4012.5
6938.32	-6575	6938.32	-7550	6938.32	-5007.5	6938.32	-5810	6938.32	-4020
6938.321	-6510	6938.321	-7502.5	6938.321	-5022.5	6938.321	-5782.5	6938.321	-4035
6938.322	-6510	6938.322	-7465	6938.322	-4965	6938.322	-5647.5	6938.322	-3980
6938.323	-6455	6938.323	-7517.5	6938.323	-4925	6938.323	-5637.5	6938.323	-3915
6938.324	-6317.5	6938.324	-7475	6938.324	-4935	6938.324	-5565	6938.324	-3917.5
6938.325	-6317.5	6938.325	-7327.5	6938.325	-4877.5	6938.325	-5525	6938.325	-3897.5
6938.326	-6280	6938.326	-7300	6938.326	-4835	6938.326	-5407.5	6938.326	-3820
6938.327	-6205	6938.327	-7132.5	6938.327	-4802.5	6938.327	-5395	6938.327	-3730
6938.328	-6077.5	6938.328	-6985	6938.328	-4762.5	6938.328	-5270	6938.328	-3732.5
