F4(X)	F4(Y)	F5(X)	F5(Y)	G2(X)	G2(Y)	G3(X)	G3(Y)
6938.34	-3102.5	6938.34	-18607.5	6938.34	-3190	6938.34	-4342.5
6938.341	-3065	6938.341	-18625	6938.341	-3217.5	6938.341	-4245
6938.342	-3020	6938.342	-18585	6938.342	-3230	6938.342	-4180
6938.343	-2985	6938.343	-18525	6938.343	-3257.5	6938.343	-4150
6938.344	-2935	6938.344	-18457.5	6938.344	-3225	6938.344	-4072.5
6938.345	-2862.5	6938.345	-18485	6938.345	-3082.5	6938.345	-3877.5
6938.346	-2865	6938.346	-18435	6938.346	-2995	6938.346	-3780
6938.347	-2765	6938.347	-18390	6938.347	-2892.5	6938.347	-3657.5
6938.348	-2705	6938.348	-18300	6938.348	-2687.5	6938.348	-3505
6938.349	-2655	6938.349	-18235	6938.349	-2630	6938.349	-3437.5
6938.35	-2612.5	6938.35	-18177.5	6938.35	-2482.5	6938.35	-3322.5
6938.351	-2587.5	6938.351	-18022.5	6938.351	-2397.5	6938.351	-3187.5
6938.352	-2560	6938.352	-17905	6938.352	-2322.5	6938.352	-3110
6938.353	-2510	6938.353	-17872.5	6938.353	-2255	6938.353	-2977.5
6938.354	-2472.5	6938.354	-17862.5	6938.354	-2285	6938.354	-2827.5
6938.355	-2445	6938.355	-17757.5	6938.355	-2282.5	6938.355	-2815
6938.356	-2457.5	6938.356	-17730	6938.356	-2307.5	6938.356	-2787.5
6938.357	-2417.5	6938.357	-17740	6938.357	-2380	6938.357	-2650
6938.358	-2387.5	6938.358	-17730	6938.358	-2457.5	6938.358	-2687.5
6938.359	-2352.5	6938.359	-17657.5	6938.359	-2490	6938.359	-2587.5
6938.36	-2387.5	6938.36	-17625	6938.36	-2602.5	6938.36	-2502.5
6938.361	-2367.5	6938.361	-17610	6938.361	-2625	6938.361	-2442.5
6938.362	-2322.5	6938.362	-17500	6938.362	-2580	6938.362	-2345
6938.363	-2327.5	6938.363	-17480	6938.363	-2557.5	6938.363	-2225
6938.364	-2315	6938.364	-17445	6938.364	-2527.5	6938.364	-2160
6938.365	-2242.5	6938.365	-17262.5	6938.365	-2360	6938.365	-1975
6938.366	-2222.5	6938.366	-17245	6938.366	-2280	6938.366	-1852.5
6938.367	-2162.5	6938.367	-17265	6938.367	-2172.5	6938.367	-1675
6938.368	-2140	6938.368	-17172.5	6938.368	-1950	6938.368	-1530
6938.369	-2102.5	6938.369	-17082.5	6938.369	-1820	6938.369	-1362.5
6938.37	-2080	6938.37	-17020	6938.37	-1697.5	6938.37	-1262.5
6938.371	-2092.5	6938.371	-16895	6938.371	-1575	6938.371	-1107.5
6938.372	-2060	6938.372	-16862.5	6938.372	-1527.5	6938.372	-995
6938.373	-2045	6938.373	-16642.5	6938.373	-1400	6938.373	-892.5
6938.374	-2027.5	6938.374	-16667.5	6938.374	-1362.5	6938.374	-785
6938.375	-2012.5	6938.375	-16725	6938.375	-1357.5	6938.375	-787.5
6938.376	-1997.5	6938.376	-16702.5	6938.376	-1385	6938.376	-685
6938.377	-1990	6938.377	-16752.5	6938.377	-1355	6938.377	-635
6938.378	-2020	6938.378	-16715	6938.378	-1387.5	6938.378	-582.5
6938.379	-1990	6938.379	-16695	6938.379	-1392.5	6938.379	-567.5
6938.38	-2005	6938.38	-16580	6938.38	-1487.5	6938.38	-530
6938.381	-1990	6938.381	-16507.5	6938.381	-1445	6938.381	-510
6938.382	-1937.5	6938.382	-16405	6938.382	-1437.5	6938.382	-377.5
6938.383	-1927.5	6938.383	-16347.5	6938.383	-1397.5	6938.383	-435
6938.384	-1900	6938.384	-16322.5	6938.384	-1342.5	6938.384	-337.5
6938.385	-1902.5	6938.385	-16185	6938.385	-1217.5	6938.385	-222.5
6938.386	-1860	6938.386	-16205	6938.386	-1117.5	6938.386	-92.5
6938.387	-1790	6938.387	-16197.5	6938.387	-942.5	6938.387	-22.5
6938.388	-1792.5	6938.388	-16165	6938.388	-740	6938.388	125
6938.389	-1757.5	6938.389	-16135	6938.389	-597.5	6938.389	205
6938.39	-1745	6938.39	-16130	6938.39	-447.5	6938.39	272.5
6938.391	-1707.5	6938.391	-15992.5	6938.391	-292.5	6938.391	382.5
6938.392	-1672.5	6938.392	-15912.5	6938.392	-162.5	6938.392	447.5
6938.393	-1662.5	6938.393	-15832.5	6938.393	-80	6938.393	507.5
