H2(X)	H2(Y)	H3(X)	H3(Y)	H4(X)	H4(Y)	J3(X)	J3(Y)
6938.418	3245	6938.418	8462.5	6938.418	-577.5	6938.418	2552.5
6938.419	3117.5	6938.419	8377.5	6938.419	-565	6938.419	2460
6938.42	3015	6938.42	8195	6938.42	-600	6938.42	2482.5
6938.421	2952.5	6938.421	8155	6938.421	-617.5	6938.421	2387.5
6938.422	3042.5	6938.422	8035	6938.422	-577.5	6938.422	2325
6938.423	2997.5	6938.423	7965	6938.423	-630	6938.423	2312.5
6938.424	3032.5	6938.424	7857.5	6938.424	-577.5	6938.424	2375
6938.425	3090	6938.425	7877.5	6938.425	-560	6938.425	2370
6938.426	3202.5	6938.426	7882.5	6938.426	-492.5	6938.426	2405
6938.427	3337.5	6938.427	7930	6938.427	-470	6938.427	2360
6938.428	3372.5	6938.428	7977.5	6938.428	-472.5	6938.428	2460
