E2(X)	E2(Y)	E3(X)	E3(Y)	E4(X)	E4(Y)	F1(X)	F1(Y)	F3(X)	F3(Y)
6938.303	-5997.5	6938.303	-8625	6938.303	-4715	6938.303	-1265	6938.303	-8532.5
6938.304	-5952.5	6938.304	-8527.5	6938.304	-4662.5	6938.304	-1142.5	6938.304	-8370
6938.305	-5847.5	6938.305	-8395	6938.305	-4607.5	6938.305	-1062.5	6938.305	-8217.5
6938.306	-5692.5	6938.306	-8397.5	6938.306	-4537.5	6938.306	-1007.5	6938.306	-8090
6938.307	-5602.5	6938.307	-8207.5	6938.307	-4555	6938.307	-762.5	6938.307	-7917.5
6938.308	-5462.5	6938.308	-8095	6938.308	-4505	6938.308	-757.5	6938.308	-7715
6938.309	-5382.5	6938.309	-7997.5	6938.309	-4535	6938.309	-722.5	6938.309	-7545
6938.31	-5177.5	6938.31	-7845	6938.31	-4460	6938.31	-640	6938.31	-7360
6938.311	-5065	6938.311	-7762.5	6938.311	-4377.5	6938.311	-450	6938.311	-7220
6938.312	-5062.5	6938.312	-7652.5	6938.312	-4400	6938.312	-585	6938.312	-7097.5
6938.313	-5045	6938.313	-7645	6938.313	-4490	6938.313	-585	6938.313	-6905
6938.314	-5037.5	6938.314	-7602.5	6938.314	-4487.5	6938.314	-400	6938.314	-6830
6938.315	-5040	6938.315	-7532.5	6938.315	-4515	6938.315	-580	6938.315	-6767.5
6938.316	-5237.5	6938.316	-7470	6938.316	-4497.5	6938.316	-642.5	6938.316	-6735
6938.317	-5272.5	6938.317	-7455	6938.317	-4577.5	6938.317	-612.5	6938.317	-6597.5
6938.318	-5407.5	6938.318	-7407.5	6938.318	-4635	6938.318	-582.5	6938.318	-6677.5
6938.319	-5502.5	6938.319	-7405	6938.319	-4667.5	6938.319	-672.5	6938.319	-6732.5
6938.32	-5630	6938.32	-7417.5	6938.32	-4737.5	6938.32	-732.5	6938.32	-6682.5
6938.321	-5690	6938.321	-7447.5	6938.321	-4692.5	6938.321	-620	6938.321	-6642.5
6938.322	-5637.5	6938.322	-7345	6938.322	-4680	6938.322	-610	6938.322	-6562.5
6938.323	-5737.5	6938.323	-7227.5	6938.323	-4597.5	6938.323	-545	6938.323	-6452.5
6938.324	-5672.5	6938.324	-7140	6938.324	-4600	6938.324	-545	6938.324	-6322.5
6938.325	-5537.5	6938.325	-7062.5	6938.325	-4510	6938.325	-475	6938.325	-6102.5
6938.326	-5465	6938.326	-6885	6938.326	-4475	6938.326	-442.5	6938.326	-6012.5
6938.327	-5417.5	6938.327	-6692.5	6938.327	-4437.5	6938.327	-305	6938.327	-5770
6938.328	-5232.5	6938.328	-6497.5	6938.328	-4410	6938.328	-237.5	6938.328	-5530
6938.329	-5075	6938.329	-6387.5	6938.329	-4257.5	6938.329	-120	6938.329	-5422.5
6938.33	-5035	6938.33	-6230	6938.33	-4210	6938.33	-150	6938.33	-5177.5
6938.331	-4882.5	6938.331	-6055	6938.331	-4137.5	6938.331	-172.5	6938.331	-4987.5
6938.332	-4805	6938.332	-5925	6938.332	-4145	6938.332	-37.5	6938.332	-4847.5
6938.333	-4770	6938.333	-5790	6938.333	-4067.5	6938.333	-2.5	6938.333	-4725
6938.334	-4807.5	6938.334	-5635	6938.334	-4067.5	6938.334	-125	6938.334	-4625
6938.335	-4855	6938.335	-5562.5	6938.335	-4042.5	6938.335	-250	6938.335	-4627.5
6938.336	-4907.5	6938.336	-5530	6938.336	-4082.5	6938.336	-87.5	6938.336	-4585
6938.337	-5005	6938.337	-5455	6938.337	-4030	6938.337	-105	6938.337	-4567.5
6938.338	-5130	6938.338	-5367.5	6938.338	-4070	6938.338	-185	6938.338	-4597.5
6938.339	-5300	6938.339	-5330	6938.339	-3975	6938.339	-275	6938.339	-4662.5
6938.34	-5387.5	6938.34	-5272.5	6938.34	-4075	6938.34	-302.5	6938.34	-4667.5
6938.341	-5437.5	6938.341	-5170	6938.341	-3962.5	6938.341	-217.5	6938.341	-4620
6938.342	-5482.5	6938.342	-5070	6938.342	-3970	6938.342	-360	6938.342	-4575
6938.343	-5405	6938.343	-4922.5	6938.343	-3900	6938.343	-272.5	6938.343	-4587.5
6938.344	-5490	6938.344	-4850	6938.344	-3847.5	6938.344	-312.5	6938.344	-4475
6938.345	-5417.5	6938.345	-4715	6938.345	-3695	6938.345	-222.5	6938.345	-4290
6938.346	-5342.5	6938.346	-4487.5	6938.346	-3617.5	6938.346	-97.5	6938.346	-4127.5
6938.347	-5242.5	6938.347	-4285	6938.347	-3487.5	6938.347	-167.5	6938.347	-3892.5
6938.348	-5090	6938.348	-3995	6938.348	-3385	6938.348	-90	6938.348	-3585
